Gene_name,Venus,Venus,Venus,Venus,Venus,Venus,Venus,Venus,Venus,Venus,Venus,Venus,Venus,Venus,Venus,Venus,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth
Gene11,5538.027235,8390.457083,5234.743959,4282.63194,19230.58609,15381.63679,6645.872172,8111.121082,7942.586655,9022.300923,4329.614465,7599.710541,6413.159027,8258.326348,11458.84467,9937.322542,68.48264449,172.1007276,165.0776554,214.6474851,212.7465421,78.28525948,202.139905,302.1461624,163.1019533,252.3166291,76.73544356,47.53810503,123.323265,128.0036617,137.1516238,74.17094286
Gene12,3295.634221,1857.482311,1625.551079,2474.772176,2152.15337,5264.329021,9402.502145,33171.08787,3225.288589,5947.395114,1072.717055,1420.822111,10571.13854,1785.81017,62462.80675,1213.255121,85359.8459,94846.26348,134195.6147,69772.32271,351257.602,169608.3389,175808.3892,46844.33797,358834.4584,45671.85253,31824.04884,51529.89443,130156.4912,17329.8825,24690.56466,1023026.235
Gene13,567985.586,144850.2877,279535.3328,1094476.251,149625.5782,124403.0315,194306.2676,128615.4637,278623.6461,392232.8992,365286.1944,52184.01856,263154.6964,587596.4968,81254.80233,171737.4783,8778.929063,1678.342538,6886.309435,13263.68245,12832.14562,1303.020453,2085.921556,6129.655162,3227.770357,2602.66392,13028.98634,2702.067917,1470.367822,460.8248674,1922.870654,6606.089571
Gene14,798928.1575,4960021.02,579507.3371,1791857.054,6508120.936,1666559.073,4964108.408,2188869.538,4623791.113,2820105.38,3527212.02,5003626.782,1928980.348,1138895.987,996948.0803,767391.989,48645.10989,54007.94383,28770.39181,444678.476,265522.9271,164796.8848,95363.06678,145536.4932,11316.52467,88672.54483,66905.71492,44186.83662,6092.879228,41365.89452,99402.16913,36793.87435
Gene15,785.0553425,5116.128777,3291.525165,7834.842672,8686.863751,12776.6598,5735.705928,6656.155128,2645.034617,922.9606875,2111.461788,6367.938704,2156.72597,1127.308897,1382.182806,1469.091502,5067.083137,3861.288707,9986.002008,6476.028883,2222.910487,2148.191745,2085.708998,1528.801063,31629.73012,1956.904488,4803.687896,2203.555898,2633.597938,2167.793736,2027.904229,3632.080672
Gene16,24296620346,10468891083,61999566.35,435014782.6,287485499,687918033.2,28289372104,145485665.9,3053472441,804093358.1,28166735798,4146567937,227572042.1,838952701.7,16255911190,212676298.7,4486775.225,9372034.446,219495895.9,181141676.7,182474248.4,52624177.99,26268999.19,5452584.466,6547744.761,17684173,8153977.132,1911424.047,748977453.5,23992765.79,5080545.613,6035134.485
Gene17,517.8744241,3155.815904,1165.522742,206.043085,432.1329038,195.2497064,355.4756872,356.635128,414.5860333,261.2718504,433.0688239,191.6673216,789.2370836,682.7743202,292.1963913,241.9193225,74419.53825,26850.49951,15211.48588,26301.46429,4304.529154,7242.053078,11856.50647,35144.50219,14760.56188,59640.29673,55268.76398,85163.05829,14042.15408,104136.4125,15776.90936,26736.91896
Gene18,365475.5812,36995965.18,18596760.82,21381166.99,2496028.961,7820184.944,9092436.582,7605054.997,12133673.65,10921872.27,10530031.47,141870264.5,17811308.47,1240218.795,9826644.91,2312514.538,1816283.482,1004458.031,16394180.43,10666446.51,43758652.32,7611983.863,516731.8458,41979091.17,5619446.653,11066850.54,18235617.16,1158326.905,6038753.366,3273218.376,9297850.508,853636.3905
Gene19,8376914.76,50500191.39,404391.6051,4747200.126,3803544.669,3368255.662,149437.4435,830038194,556767.9537,109566.0375,8134408.798,107784106.4,24047010.49,59983939.96,58095747.91,8753587.757,146629780,533494832.7,171563300.6,699166765,52813292.09,30108731.55,11191030.58,16704688.27,11747777.48,192861002.5,86057126.84,18643854.65,154973378.8,92112501.91,38276426.48,889142706.5
Gene20,11353559.45,14583928.19,5420077.057,1508268.291,4620006.278,8346769.21,12647888.78,22141785.85,1554197.996,30187055.88,205619702.4,27049597.01,7162298.562,3555487.57,17426918.74,2269918.895,286658.9037,136282.7462,87964.26389,144060.5567,30689.63739,55576.07582,90141.80822,789016.5218,115117.1838,101031.4888,264815.7147,363660.8626,197889.9889,65765.72152,240614.1699,162977.203
Gene21,42492582569,1564748194,53099486.43,2145935402,1014236604,16863765190,17299780884,53956488147,9209949445,2562897833,12900819201,52293021544,418793465,7075666116,35039134684,3898875718,5804266.536,1210174857,55351092.88,314638471.1,128426987.9,854093907.8,455115435.9,78663211.16,88339043.78,124180473.1,152372315.8,349833306.5,7019536317,41860877.37,105448620.1,18670685.44
Gene22,3666.289487,9106.892434,5273.782666,7255.89175,4816.392632,14666.66086,10912.33652,9316.717922,3507.387725,8311.031997,8820.844864,13295.76258,9507.115168,7699.631601,9300.895316,7705.880763,93.37976986,131.6253785,95.66838066,195.2327018,164.5055413,161.7812647,92.04347084,138.6952021,90.39185921,189.872047,204.7528698,337.3319875,83.28165824,136.4798711,173.5875506,76.20291577
Gene23,2191269.902,16646327.55,4013068.758,3983483.831,7542106.804,2797080.816,5879951.35,4630939.602,375258.9866,992128.5274,6339136.438,1092736.761,877094.6898,3047498.879,7183925.953,1566794.371,64002.07199,446502.8358,85272.36776,18869.48122,57349.85658,19857.06129,42211.74832,35069.85423,30266.89666,324599.2466,333456.1639,16461.93255,44686.37759,130291.6824,79970.88063,82956.33898
Gene24,3588786.999,4540987.194,2058166.617,859132.5817,6588657.541,1417351.707,4617098.113,8728366.553,8269168.76,5239874.669,11047504.06,5011486.016,5833970.424,1717734.488,3226694.309,3501951.815,24416.70325,35330.94462,74925.75005,50405.99849,103853.1249,174778.9197,43962.72243,39777.1116,61406.95076,45031.27323,169207.5795,43263.52934,56510.27753,55042.56148,29367.89992,5487.302371
Gene25,1962718.135,85695.05705,7363184.232,3303208.778,1409215.276,328439.1546,590752.6243,335605.8478,1323229.999,286675.3627,548130.2583,9051262.798,1582055.868,277311.136,999462.5086,1475282.271,6045319.831,140555.4735,202373.6152,1073174.686,1320166.46,373027.9429,1966222.194,4020107.198,137871.3995,3374288.036,4261913.645,71483.74404,646151.9672,511340.6109,446203.8211,2968208.858
Gene26,12733713191,52972521.68,3723133733,6552604.416,34859535.26,195773494.6,568470664.1,34710535.5,34634371.15,146708433.5,13851991.53,91725370.23,51113091.98,16505038.03,244044878.8,2081956636,673756826.9,244253508.4,2612300.77,101311195.7,85717934.24,111345191.4,197283298.3,178488251.3,114080640.7,15777862.14,15079414.56,93505364.96,4849617358,577817626.8,1829584773,191090536.2
Gene27,3001.779158,2683.74009,956.2989251,2318.987713,18497.67054,2072.309808,3147.091018,1965.380912,2480.450988,5389.396474,7684.62297,1781.752976,4241.281854,403.9282179,6988.029002,16717.97064,12665.96453,58764.94157,144720.0871,75208.16714,84969.57174,63264.4923,178132.8003,106758.3073,210583.1204,55176.06839,45519.29402,367702.9935,140139.235,21094.5792,328836.8445,11934.69203
Gene28,22.38825938,50.30986346,33.82956975,13.8993784,31.46539029,32.91764439,26.9743146,15.18118043,32.50883652,10.64464112,19.00244094,25.40567217,10.84544313,10.43176507,16.701097,7.378411008,2438.005127,469.3594277,1547.253909,4870.22294,976.6933411,1556.031127,4052.456142,1069.027582,1436.814255,1138.122281,1579.9699,2444.848847,708.1022174,428.1696266,753.4263724,274.7991199
Gene29,3893.121029,20116.09192,29572.45331,4332.517769,7269.494496,8754.245687,6086.978043,19930.41072,4786.660987,10643.6396,9536.923427,7754.460304,8342.585412,7645.758173,4983.676044,3280.383247,100.55559,439.9268337,154.4101365,86.93345408,225.0541607,143.7542653,136.771687,109.7841337,289.3326087,177.7697064,114.544074,302.293015,211.4894144,134.2214007,85.10757875,262.0295506
Gene30,12541.8367,5667.151583,7904.664575,14364.87736,3310.42724,9759.559306,4826.67273,9900.069228,4801.675035,4654.176176,50501.48962,5349.90071,388.0373224,24906.59965,19158.74281,13175.90297,7439.223281,4489.172067,7529.5176,12873.4768,4744.623106,14141.72111,9534.066662,5815.470818,15988.53972,9939.269195,10227.23813,6626.983942,5308.524802,9528.187814,20502.08074,3854.841748
Gene31,7261.026649,32714.86386,14528.1962,13266.49482,24071.57347,20970.49849,45786.08731,15086.66491,25455.23586,37695.30636,9634.935185,17407.73443,6329.621022,27100.04937,21856.38302,21654.65463,222.2254902,522.1673637,233.4388103,268.5541729,344.9274996,339.3541379,726.9084017,610.3698349,450.6372508,726.814637,1131.577862,322.1526301,212.2440793,462.9118175,284.2238175,186.2069441
Gene32,4056598712,2284611802,1391680224,2146798638,1625038774,8390184879,1039453875,10887158271,54413102928,98124977.97,5036396350,1613438485,26997870317,232699801.8,514297352,102708829.8,2228991.133,12496458.1,1405531240,180235663.7,1623478.536,87193858.04,25297684.01,388822319.4,3288113.373,7045455.62,2415841.903,27323406.78,94859741.05,7319372.911,8195973.816,5959727.261
Gene33,549303969.1,3718108.635,25332507.32,28266599.06,78671.13989,42014044.38,799195.1336,7173807.542,543596.7306,36118094.04,8310959.385,7511143.638,13036386.92,93256436.36,2478350.343,69752248.4,462756038.4,304162989.1,305106029.8,160270179.9,19960089896,32358060.63,1190558715,63073045.33,1698164942,1412968299,153400786.2,436595335.9,64849903.24,3038843971,246879483.5,112698697.7
Gene34,3972.838081,4972.129465,5674.126692,21333.46682,2992.494204,6453.642065,6368.988673,6291.066962,11082.98873,7322.457122,5803.472539,5374.64245,5186.099947,6866.027426,19159.76687,5544.237491,2240.322368,16959.5711,22123.41597,5868.353325,22500.19982,39997.99053,5614.659731,20280.22214,6753.36526,5134.050549,7730.564521,6533.320982,41408.12342,14038.43446,4655.445625,15684.29292
Gene35,4691.636188,6941.625696,13290.1331,6059.247447,4359.401378,12317.69764,5195.234981,6164.633012,10550.53457,20758.69203,18122.80537,9596.917151,5364.405677,18334.24945,8493.561388,7809.414066,117.202285,33.77360975,136.7770724,296.6859393,180.5403195,116.8967012,68.83368835,143.2176798,63.73763926,207.2542745,225.1555525,166.6652207,191.9205577,64.03044077,64.41848529,69.22495755
Gene36,1085413435,12171514156,121337371.2,5176879121,3678652168,116371069.5,2683951793,429937283.8,731195961.2,11209829251,26442930728,566707010.7,934347367,995944386.5,35999399904,52120985.99,12075987.68,81556108.28,6630686.743,9574352.457,91513315.58,426437188.4,327521861.6,37038714.76,6900655.589,7587610.779,167992532.9,39991411.35,19765657.45,976116.4857,3328504.194,242178319.2
Gene37,106398.7933,21809.05464,36370.35999,9687.231118,31243.42924,127757.3744,72172.78835,114025.4485,65026.71864,147890.7038,62434.72072,79665.95052,207140.8104,66420.54115,152817.2504,59383.85585,53456.81203,135973.6757,27337.55888,66982.89857,4373.188652,10859.0379,17152.85724,157417.2346,113538.8843,46553.44452,19787.69237,27121.5522,43751.64198,40959.83711,11647.9741,4070.217493
Gene38,1737558.801,5535550.161,11494408.54,1001136.168,12833311.19,1346534.319,4837656.213,18989659,40609891.76,17453389.11,15185727.42,13556306.97,57357744.49,16644714.16,523703.1635,12237073.71,644387675.3,457913.9571,11238221.02,3255573.626,2846259.35,5838299.996,4989265.513,6407466.291,903521.4081,6912675.434,215706.6811,9241285.363,30202155.32,4801721.113,22034064.06,236408.7862
Gene39,3927541025,12902085711,22614481507,310944563.6,1002635416,561129947.5,689249968.4,30808326069,5359190847,7577250850,1153751335,704605233,12372468300,2162097306,1717405293,2373675042,56879998.58,122484658.7,12781983.69,13046013.07,151490512.5,102269913.4,273953423.8,92707660.85,26755243.17,1389711119,13380996.22,43667854.54,59273773.19,32094189.74,1201743221,19146555.74
Gene40,27257065.66,7835459.072,70784436.99,520374.6938,2047979.828,6561465.602,24752440.81,12132384.27,578162.8516,4262962.316,2237138.96,7085073.691,253753500.5,3789349.043,8431351.835,8266787.105,189571325.2,5575560.998,259778052.6,19292025.85,11201247.15,23056190.72,703335.3754,12971181.03,29412268.52,15931247.07,56358074.27,73527140.68,2198407.523,6516084.032,25941954.47,74373963.69
Gene41,35330066.8,858975432.2,1019695781,40134962.16,262737321.5,687412411.5,959999126.3,537185430.6,4943704928,130436050.3,39390036.35,18082547.9,208373331.4,146096067.8,107939375.6,269330699.2,576288.9316,294186.3627,812931.2646,1924001.74,7046794.185,3338954.002,15481626.22,102519559.8,3345465.14,21126529.16,9425460.013,7447762.821,7235357.891,2059051.003,224967.6192,129850673.7
Gene42,303.2406831,488.0071473,3643.672508,2516.145555,246.6185011,143.4140148,186.2036083,946.8535981,3449.242159,3310.874112,80.67140912,448.2239913,1987.907033,3229.676137,2568.644585,433.1112974,91791.84324,22728.33615,102283.6323,142842.3575,101800.1366,222527.0497,15644.51383,312717.9932,48187.43746,201343.1806,127544.6195,37355.00153,50843.92484,27675.09594,54960.57553,84846.9009
Gene43,326412.0067,45702.90091,410886.6542,111475.9678,379694.8116,545264.5548,695838.2823,5063882.683,89838.77779,178618.7162,67677.88924,145522.5703,36506.17144,1416469.483,124295.9472,137401.61,74567.83152,85473.52749,162877.7171,242572.7167,28981.60763,550478.6483,166419.8616,36408.60264,26627.34351,201291.7429,116927.1153,79909.98734,124127.7136,184983.2039,126440.8648,79340.52424
Gene44,125.8405849,88.1588697,161.8895652,277.3708479,89.76729895,435.20545,88.79512115,150.8291892,120.9002657,41.15472892,279.4186318,325.9470888,351.0920212,116.2482045,356.8337777,270.6178927,98.23486516,100.7853056,210.0927103,88.3574668,153.7718009,127.0503895,179.488793,139.0131731,54.48141583,248.3286224,108.2247941,110.8496899,157.4407198,135.6338366,54.4049216,150.1373162
Gene45,1136.281482,3964.936176,2242.088498,1068.909197,4313.252464,887.7247262,2306.510218,943.9926679,4913.43359,627.3135166,10978.26489,5740.177721,1792.020138,5083.806677,4316.921159,4673.071496,26804.03638,2578.391824,6314.632468,1722.777787,3161.240575,34187.78611,2008.824358,1889.538006,899.7134132,969.7563235,5219.22476,4611.298048,1935.842789,2959.47384,13355.90046,1145.035195
Gene46,15709.51516,182730.2004,157957.8759,41069.73843,21774.59671,42569.67225,23084.62725,9926.073582,76486.50978,19385.63091,236271.5589,122718.1323,66920.17945,31698.57776,38165.9398,293562.0333,50146.70556,91782.01849,101330.8853,163580.172,80353.90819,42581.98935,9464.337238,76939.5149,42470.73565,188297.2295,27778.81708,104709.3063,593522.8181,289750.8844,118062.3392,63590.12374
Gene47,17074695.44,7537579.24,89092091.63,250820658.2,676469634.8,369206406.7,1021980713,651389668.6,1240785247,77540743.07,72577536.61,3498291350,362324977,655131623.1,285141039.9,54027207.87,11273364.91,1522874.184,835065.8725,11600166.13,444379.4511,1220975.014,641270.6172,5773135.856,2040339.226,5453032.76,32547046.22,2131121.74,2951109.201,3752709.788,3037492.004,9562707.718
Gene48,14881327.77,1404007.955,8198596.575,4525867.09,8534581.38,43211730.09,3642939.267,36557915.84,60515498.86,1527245.858,813338.9433,213070.6708,41111187.04,5437262.085,43644317.42,1809893.313,720971.3734,11324969.47,13169681.52,2331196.17,1682052.675,6005564.237,2947585.587,13785578.75,19393732.98,2794970.464,241762.9361,943765.6156,26492174.17,119110711.5,1476955.414,26843409.14
Gene49,32148.4319,174283.3922,88618.52676,5095.517512,77598.86488,43293.50983,307246.5413,123306.6748,303885.6655,444.774407,23681.10029,175093.5192,54191.97638,50100.63705,39737.89352,72272.04164,6756278.744,33141171.66,1780947.5,4354204.068,20954887.34,7415789.984,18095136.01,11026647.12,246409.187,21812806.21,15452485.49,2533282.478,1814604.876,4217528.875,1412810.833,2228989.573
Gene50,113860.2118,111795.4955,38014.57461,169016.1902,1124487.874,469738.0231,65440.30829,163672.1973,557052.6838,96724.85135,121822.027,98536.15287,349831.1319,240252.769,111588.8254,236689.8279,5119.55855,1616.514361,1397.617619,6242.000869,7729.592173,1921.598263,6404.661541,4530.026482,5359.543398,3847.875671,1368.978343,1713.225801,2253.918667,3365.873258,4051.332648,1145.589114
Gene51,4015787.61,8766701.071,30321872.4,53620490.43,14036851.13,5997172.84,82566183,9350598.329,36414868.92,4146696.751,20816538.99,18170641.48,2482772.773,35615658.39,110120762,69200791.74,17876072.2,2977964.355,416410.9157,35492523.48,51398341.65,592108164.9,9708748.067,52120690.49,9312607.12,111319962.3,123240461.1,50029848.8,39727285.08,15008402.21,73540065.99,405686632.6
Gene52,648306.067,305179.5907,318989.5818,9057710.572,943792.5638,909233.0262,731178.0024,574673.8578,46072.25718,2084663.799,75123.71631,31062784.4,629139.7348,866986.2336,3773755.898,3560928.319,15679183.27,97492789.27,49416304.9,27199606.64,61533520.51,370364478.5,1417010.226,279500113,28735673.57,82610522.43,11084866.22,6066888.327,109503591.8,100792173.5,9069610.377,116433759.5
Gene53,55591.46364,264274.7918,43854.66214,17560.48496,17543.44693,2983.374782,143781.326,48859.66875,1975.455487,14754.98919,6138.470285,67887.82978,114963.1469,55199.02463,15527.53962,56031.4708,23741.97076,1614444.811,2644716.278,21785.28834,6874009.146,2641869.344,125235.0396,252851.9165,541576.7394,5914475.11,4523327.626,1330680.387,927003.756,4334534.641,164634.318,543277.3484
Gene54,4000.916732,25898.26461,22101.51641,108605.2743,48033.0581,20808.80652,9020.200753,7939.777351,16742.35956,7920.952795,14977.98353,32281.07529,20800.50123,65551.90617,52119.49037,10228.05592,53830.33455,97365.14306,21005.22904,29029.04517,37943.29581,4456.630941,193876.1563,34737.09289,13007.18139,26166.98563,14032.69046,116317.8976,6200.611959,8902.598846,13119.66789,4058.022288
Gene55,189823.1333,1502998.148,43673.87618,1834876.047,857339.389,1677485.283,498651.2543,478485.5793,790511.752,376676.7593,486706.4434,53082.98766,222236.8152,263090.4686,69349.19124,1438309.536,1049890.205,984688.1142,209469.2421,688036.3765,127199.8594,429844.3444,491017.0631,1643362.187,101706.3354,379850.2726,341037.0397,901238.5696,1644039.828,68691.63654,245007.334,1706830.54
Gene56,10607124.75,527049096.2,2229568.893,16068340.88,170856940,34055365.2,321958758,1858517318,151453972.5,450089871.6,10397274.52,156377311,2157526.505,219034620.1,11319396.77,5007237.52,5739207.66,95652983.26,73566774,12195526.69,83888851.79,728078840.9,208069103.6,15262211.48,39800797.14,93998201.46,79722222.44,13764166.99,513932248,18159376.42,50848155.7,33582574.17
Gene57,1254050364,4960515640,1160131059,561935712.8,886143714.1,3706889699,326779242.6,24231702.76,329570005,261587023.2,1802809735,220256169.7,141626159.5,119224782.7,3838799844,375973636,10357468.28,8652963.958,9209605.026,242011.9715,13189064.9,15570629.94,3185304.51,4524635.843,688233.6409,20396884.85,48361934.02,2000702.422,10469147.73,702681.3208,1101852.469,419983659.7
Gene58,607430517.9,25275778369,31388736925,1194664068,62477255843,359936982.9,6153436053,3513968053,53993374780,257359778.5,4823769838,19748742226,947575887.5,721028601.1,48830992420,897227025.1,460861014.1,14674641.66,110638057.6,9423388.732,73061706.9,4971224.479,3047279.587,28792744.04,13741909.61,74371851.88,941257734.6,39997385.64,398583293.9,956758453.7,11503985.16,70943185.84
Gene59,16.66528881,28.0267414,99.07745504,34.55375342,6.460325026,14.92238274,27.88399524,16.17922549,10.44716248,11.52693334,88.04796799,11.57437945,46.9989791,67.53792665,21.57080169,28.59419907,817.8968838,1517.891157,1356.518517,2099.532294,2103.017638,769.1260014,344.9521704,1365.834385,1564.400589,786.0849737,1173.381147,4029.965516,1272.316764,1190.72213,811.4035519,2047.115621
Gene60,79794.76378,19724.91105,12063.02948,5978.429771,17386.78264,36147.69765,11917.23214,76698.47163,15916.84644,25211.308,62394.45933,43347.8566,4671.107724,18951.70884,3114.541959,4264.034376,25733.71505,7324.869784,115959.6129,23266.78711,113502.7699,6541.296906,14128.65755,20068.6657,4812.906461,9675.324708,18901.41456,10740.74826,12524.38139,17298.08024,52797.39677,13003.58584
Gene61,263002396,2860964412,1833195498,79775436.95,696013957.1,312825999.7,348747139.6,12683572608,308337425.3,4937127315,11187922410,512533919,107296287.3,8837700756,3232054173,103959590.7,24102206.95,84379348.75,11067039.19,4684845.086,276377280.6,61557014.2,22998452.11,119883754.9,49400201.56,2639370.337,133172374.3,108698904.7,1930875.824,7118482.159,72347473.47,10248680.96
Gene62,57894.72269,488570.3023,86001.17728,105799.1437,55961.56172,89242.42305,39386.93805,30937.22329,198424.0291,131945.8866,528892.7317,355193.0038,254172.8012,298597.6883,1410911.5,216742.4572,6882.606851,792881.2735,1015362.425,168191.2456,93832.18705,318986.3142,30327.26265,68625.46739,35893.37824,10657.58135,471847.4073,90336.29632,52757.43585,126711.3468,867997.0996,54838.22099
Gene63,24015.90939,24860.21563,42053.37032,31858.07249,56180.20467,15059.50629,18498.08515,23739.59526,37677.45451,13444.99872,24245.59317,23356.75573,43952.80325,20205.63196,37483.7142,5768.74369,498.8384123,531.1259291,416.65406,520.8625809,266.5069809,829.961191,1242.662928,413.9002603,648.7132637,902.9996209,278.2027285,376.2849097,244.5469392,398.4662874,206.6426574,198.2048752
Gene64,5848.365505,981.6356694,7414.392289,8094.998292,3018.148994,10533.76701,1074.391543,13679.93591,2010.515813,708.4641179,604.5779455,18613.14786,10346.88545,1306.037356,601.2627804,4846.16862,340791.5935,21399.47359,197087.1823,229921.0856,396027.319,285663.8586,62013.96364,48028.79631,84369.92947,133316.513,99982.13081,159988.9606,250046.7744,652020.5824,56742.88951,143558.2722
Gene65,2274718491,1003191628,5300758054,966243044.1,9624654635,2802193084,46779137846,475841908.1,599953726.3,471329312,29828779046,1579666048,654956316,219218699.5,27859236685,829020774.3,2884071.431,42817803.98,16222769.21,4912774.006,53503324.18,33875762.38,52325404.34,842863185,1687222.092,56980315.74,1292320808,114401735.8,3020431.829,90458424.84,4491989.703,107816508.9
Gene66,7925.587365,12673.72118,5325.936141,7968.298475,5517.643013,11370.28316,5611.569866,7144.006753,6557.338835,16160.45888,6247.001197,3997.178386,9732.667664,4691.625503,7638.361333,14100.26469,90.31291149,152.7113761,507.1653397,139.1518716,212.2867456,389.0028988,237.9508732,198.3935305,172.1776048,193.8357646,159.0351953,98.32102931,144.9681824,136.5591635,156.563676,94.12127364
Gene67,219.1465889,199.4100023,78.23341592,91.02306044,116.9456314,90.06710644,275.8578358,121.4537912,117.6044895,168.0401919,43.24607482,54.33631156,393.0764117,104.4711408,192.9196151,78.10747743,92.52796234,251.3131264,152.5018081,174.0935245,140.1429959,116.9380784,110.4571904,118.7019346,239.5815055,384.7081089,91.1008599,208.505871,118.5970622,49.14430445,195.0894795,278.1490731
Gene68,92883.73544,93513.45392,546113.2363,239556.3444,89260.18254,20392.44765,147773.9964,93096.43962,216469.3912,282012.0359,217686.7158,895312.091,377291.4174,116329.0389,151593.9964,70564.23313,4887.556396,1726.238792,2850.834091,1364.121104,3846.073807,2182.193749,2762.681003,6957.378619,2353.859536,15304.61351,14172.1692,726.6248319,756.2614843,5874.099363,7238.778497,2725.069614
Gene69,2497.950721,5252.883603,5271.653179,3768.96749,2345.809337,113.4200925,6055.92527,1414.333959,31763.73762,2665.620687,554.3943421,4830.396195,7696.25124,2671.360077,1092.120274,7095.063222,404649.7046,32415.16948,285397.4093,66213.78935,123671.8471,238300.6197,347471.6438,834596.6292,233606.3636,159883.5927,507331.5578,107422.4216,86343.89472,495233.6524,73119.30602,376727.0984
Gene70,18145267.03,3506822.41,7858316.806,144822599.2,120350652.2,46582487.86,303774031,222103015.7,39266370.86,418599317.2,175163746.9,201530712.5,26896943.09,146988972.3,221578068,191801690.9,7718057.917,474486.3118,1025216.629,1196790.173,901252.7455,2270450.422,835900.937,886932.2547,827223.8189,6083414.114,1060362.281,4764182.573,4052472.498,2640848.971,74852.93121,1592650.971
