Gene name	1-Control7D-1	12-Control14D-4	13-Bleo14D-1	15-Bleo14D-3	16-Bleo14D-4	17-Bleo14D-5	18-Bleo14D-6	22-Control21D-6	11-Control14D-3	32-Control28D-8
1700012A03Rik	0	0	0	0	0	0	0	0	0	0
1700012B07Rik	0	0	13.00004	22	7	9	10	1	1	2
1700012B09Rik	41.00002	25	23	19.99995	21.99996	22.00003	26	57.99998	21	44.9788
1700012P22Rik	0	0	0	0	0	0	0	0	0	0
1700013F07Rik	41.0509	55.3412	37.2064	14.516	43.2336	31.5181	22.6791	51.366	68.8023	54.6301
1700013G24Rik	0	0	2	0	0	0	0	0	0	0
1700013H16Rik	0	0	0	0	0	0	2	0	1	1
1700014B07Rik	0	1	2.02377	5.14899	3.10295	8.31057	1.09879	0	1.02673	3
1700014D04Rik	2	2	1	0	3	1	2	0	0	0
1700015G11Rik	0	0	0	0	0	0	0	0	0	0
1700016C15Rik	2	3	3	5	8	4	3	6	7	3
1700016D06Rik	22.543	12.4492	11.8878	8.98072	6.25056	6.95809	12.4014	9.76196	8.79798	5.2155
1700016H13Rik	6.974936105	9	9.0000021	5	1.999997	0	4	0	1.49863	1.45391
1700016K19Rik	165	121	100	98	124	99	118	173	151	154
1700017B05Rik	622.59658	590.99999	1454.4183	1821.3049	1203.48694	1071.91054	1081.1448	594.8421056	566.97541	718.00007
1700017N19Rik	0	0	0	0	0	0	0	0	0	0
1700018B08Rik	0	1	0	0	0	0	0	3	0	0
1700018F24Rik	2	1	3	4	0	1	1	2	3	7
1700018G05Rik	0	1	0	1	0	0	0	0	0	0
1700019A02Rik	1	1	0	0	2	1	0	0	0	1
1700019D03Rik	21	29.5749	23.99995	16	13	24.00000018	18.73440004	24.9092	20.662096	28.6913
1700019N19Rik	0	1	5	0	0	0	1	0	0	0
1700020A23Rik	3	1	1	0	0	0	0	0	0	0
1700020L13Rik	1.1129271	1.0000002	0	3.32852	0	0	2.866981	2.3570567	1.1310353	4.887692
1700020L24Rik	205.1916	227.676	72.4913	64.2608	46.8572	99.0834	131.1638	201.1521	195.963	219.539
1700020N01Rik	0	4	0	1	2	4	0	0	0	0
1700020N15Rik	0	0	0	0	0	0	0	0	0	0
1700021F07Rik	0	0	0	0	0	0	0	0	0	0
1700022I11Rik	0	0	0	0	2	0	0	0	0	0
1700024B05Rik	1	1.0000003	0	0	0	0	0	0	0	0
1700024G13Rik	126	115	56	31	56	87	87	110	108	138
1700025B11Rik	0	0	1	0	0	0	0	0	0	1.46081
1700025C18Rik	1	1	0	1	1	0	0	0	0	0
1700025G04Rik	387.16	426.978	480.383	558.034	461.77	542.549	547.86	486.063	461.381	450.443
1700028J19Rik	5.999997	8	7	5	10	6	10	8	3.356979	12
1700028K03Rik	0.43236057	0	0	0	0.0436215	0	0.000103966	0	0	0
1700028P14Rik	63	52	29	34	55	41	53	53	55	62
1700029F12Rik	0	0	0	0	0	0	0	0	0	0
1700029H14Rik	3	0	3	1	1	2	0	0	1	0
1700029I15Rik	1	1	3	2	4.46946	0	0	0	3	2
1700029J07Rik	159.7932	150.2261	115.2232	114.2205	125.7896	89.2028	169.3721	220.1241	185.5163	207.9674
1700030J22Rik	80	86	76	67	70	54.00004	67	95	83	89
1700030K09Rik	203.09	231.694	164.132	136.56	164.644	169.977	203.576	263.973	220.875	240.318
1700031F05Rik	0	0	0	0	0	0	0	0	0	0
1700031L13Rik	0	0	0	0	0	0	0	0	0	0
1700034E13Rik	0	0	0	0	1	0	1	1	2	0
1700034I23Rik	6	2.20841	2	3	2.21188	2	3	4.41704	5	2
1700034J05Rik	0	0	0	0	0	1	0	1	0	0
1700037C18Rik	56.01148	72.58903	67.57205	53.79643	66.16822	49.94339	71.45773	60.47655	64.70822	75.65008
1700037H04Rik	224.85745	214.3358	209.3013	260.4484	212.0785	236.9722	229.732	224.8144	220.98905	225.2346
1700040F15Rik	0	0	0	0	0	0	0	0	0	0
1700049E17Rik1	0	0	0	0	0	0	0	0	0	0
1700049E17Rik2	0	0	0	0	0	0	0	0	0	0
1700056E22Rik	0	4.40589	5.17291	1.34E-06	0	0.471164	3.04506	1.22947	8	0
1700057G04Rik	0	0	0	0	0	0	0	0	0	0
1700064H15Rik	0	1	1	1	2	2	2	0	0	0
1700066B19Rik	6.03047	7	14.1927	11.4482	14.6943	6.3643	17.2173	13.2555	7	21.4184
1700066M21Rik	125.3	142.799	148.171	184.074	149.736	156.206	171.959	168.888	121	137.646
1700067K01Rik	6	4.00435	3.76685	1.93425	7.85825	4	4	10	7.09706	8
1700067P10Rik	0	0	1	1	0	0	0	0	0	0
1700069L16Rik	0	0	0	1	1	0	0	0	1	1
1700084M14Rik	1	0	0	0	0	0	0	0	0	0
1700086D15Rik	0	0	0	3	2	1	3	0	0	0
1700088E04Rik	187.5687	202.70165	151.00844	162.6131	162.37885	149.28259	174.86602	260.3289	217.09471	228.3864
1700092M07Rik	1.95341	0	7.1096	0	0	1	2	5	1.34247	3
1700093K21Rik	9	0	18	8	9	10	4	7	7	1
1700094D03Rik	494.633	541.764	378.905	281.159	348.675	256.937	360.217	609.956	539.396	628.041
1700102P08Rik	23.00003	12.99999	11	10	9	9	12	25.00002	24.00001	19.99999
1700109H08Rik	3.000003	2.84356	11.23985	16.791897	7	15.3233	8	4	1.0368	0
1700113H08Rik	2	0	0	0	0	0	2	1	1	4
1700122O11Rik	0	0	0	0	0	0	0	0	0	0
1700123K08Rik	0	0	0	0	0	2	0	0	0	0
1700123L14Rik	0	0	1.00315	0	3	4.00028	2.00021	3.01608	4.02741	2.00276
1700123O20Rik	538.2769	473.2456	545.4976	574.4123	584.8414	545.1899	535.4495	553.5756	487.08604	523.7317
1700125H20Rik	0	2	1	1	2	0	0	0	0	0
1700129C05Rik	1	2	0	0	0	0	0	0	0	2
1810009A15Rik	268.16	243.942	370.856	278.628	255.664	294.529	364.126	288.802	221.183	298.912
1810009J06Rik	0	0	0	0	0	0	0	0	0	0
1810010H24Rik	1050	965.9998	501.0003	566	424.0002	371.9999	505.0002	1347.0016	944.9998	1101.9999
1810013L24Rik	1345	1229.003	1402	1602.002	1316.004	1475.002	1608.002	1503.004	1492.003	1429.999
1810020O05Rik	39.8386	47.2009	40.3867	54.9502	30.8815	39.7421	55.2036	71.2611	40.5182	48.1898
1810024B03Rik	4	1.19024	15	3	1.1615	1	1	6	2	1
1810030O07Rik	767.948	770.985	743.202	764.098	697.978	746.668	836.984	829.102	798.861	819.685
1810037I17Rik	1035	996	1168	1314	1027	1091	1152	1079	1062	1121
1810046K07Rik	5.000000112	11.00000046	3	7.000002356	4	4	6	5	9	7
1810049J17Rik	71.2918	50.9148	74.8971	148.581	75.8574	87.1416	87.4905	61.2286	67.9664	78.6529
1810055G02Rik	334.0043	323.0578	561.3289	708.9449	478.2794	502.6246	484.6039	341.6742	264.2081	330.3083
1810058I24Rik	382.8908	384.914	396.9381	545.031	381.995	400.916	441.0298	397.7609	392.598	420.992
1810062G17Rik	21	21	31	23	25	11	8	11	25	13
1810065E05Rik	0	0	0	0	0	0	0	1	0	0
2010003K11Rik	5	0	5	4	0	1	1	0	0	4
2010106E10Rik	0	0	0	2	0	0	0	0	1	0
2010109A12Rik	5	1	0	0	0	0	1	2	1	3
2010315B03Rik	247.9012	246.99109	230.17558	275.1286	232.00824	243.3588	283.62166	240.34674	295.41737	289.58362
2200002D01Rik	161.875	146.054	322.189	394.937	235.835	286.661	248.339	137.875	149.957	148.633
2200002J24Rik	0	0	0	0	0	0	1	0	0	0
2210010C04Rik	8	2	2	5	7	6	2	5	6	7
2210016F16Rik	626.593	693.486	735.618	697.468	614.421	619	731.537	684	715	768.951
2210016L21Rik	496.33	518.186	498.278	441.299	389.639	481.722	544.628	528.127	499.716	524.511
2210017I01Rik	8.19354	2.49723	2.86759	4.7006	3.82062	4.63348	1.15418	1.28896	4.71774	4.35659
2210408I21Rik	116.11371	135.0002	164.00036	163.9996	119	98.56221	138.4366	107	125.8259	115.676
2210418O10Rik	102.0776	105.59414	95.72477	129.491	80.34005	105.716971	94.5009	117.19493	114.9207	131.15136
2300002M23Rik	0	0	0	0	0	0	0	0	0	0
2300003K06Rik	0	0	0	0	0	0	0	0	0	0
2300009A05Rik	40.5055	62.1055	52.7289	68.8719	38.0783	42.5196	41.4402	67.3091	44.6117	45.8319
2310002L09Rik	5	13	1	0	1	7	3.999996	9	2	10.999972
2310003L06Rik	0	0	0	0	0	0	0	0	0	0
2310009B15Rik	36.3902	41.5535	53.9362	87.3594	41.7475	45.9735	55.8432	40.2456	27.673	34.2939
2310011J03Rik	858	799	852	928	650	791	833	873	728	948
2310022A10Rik	389.7041	405.28787	482.26728	469.5057	404.68007	439.19764	478.64987	406.467	397.30138	394.109
2310022B05Rik	2228	2649	2311	2781	2205	2363	2336	2392	2294	2486
2310030G06Rik	296	306	190	203	214	226	277	355	320	301
2310033P09Rik	302.446	322.232	200.038	278.201	240.664	272.242	318.397	362.676	263.598	359.833
2310034C09Rik	0	0	0	0	0	0	0	0	0	0
2310034G01Rik	118	105	75	93	106	74	82	107	84	96
2310039H08Rik	119	105	168	203	113	117	133	137	108	142
2310046K23Rik	0	0	0	0	0	0	0	0	0	0
2310050C09Rik	0	0	0	0	0	0	0	0	0	0
2310057J18Rik	0	0	0	0	0	0	0	3.24317	2.47155	0
2310057M21Rik	156.778	175.8179	162.60339	162.3909	120.90185	129.2399	207.431	169.5497	150.5582	209.6713
2310057N15Rik	3	1	0	0	1	1	0	3	3	0
2310061I04Rik	353.00005	362.99988	349.00013	325.00047	319.00009	354.00006	406.0005	386.00038	319.00024	377.99993
2310061N02Rik	0	0	0	0	0	0	0	0	0	0
2310079G19Rik	0	0	0	0	0	0	0	0	0	0
2410002F23Rik	961.94266	923.9212	1092.6792	1247.25207	1018.967669	844.34405	1034.49558	931.87595	871.95356	904.36301
2410004B18Rik	286.30864	300.97381	286.9973	232.55123	200.6928	233.95623	294.73213	394.1558	312.1241	305.8644
2410004P03Rik	406.3838	413.6298	304.0279	306.5677	306.8616	279.13906	310.05219	441.29776	441.2765	482.993
2410137M14Rik	2	3	0	0	2	0	2	3	1	1
2510002D24Rik	170.7563	146.2294	108.0387	108.119	108.0584	113.6996	118.6079	196.2494	153.6728	187.2534
2510009E07Rik	1216.2433	1290.1009	1344.1597	1841.737	1483.36777	1588.56976	1694.3665	1564.95569	1461.99349	1264.21776
2510039O18Rik	1599	1678	2174	2069	1685	1800	2022	1844	1512	1730
2610001J05Rik	716.9995	726.9999	774.9995	831.9998	776.00005	777.0003	763.9996	776.9993	678.00048	793
2610002M06Rik	451.911	425.394	383.365	416.443	376.617	398.112	472.228	478.484	509.601	492.66
2610008E11Rik	478.97986	500.99981	412.00024	486.9997	435.99952	453.00038	509.00048	483.99962	525.99979	557.99961
2610021A01Rik	258.81	219.69262	221.597	252.23988	208.85426	226.88414	277.511	253.00015	225.924	254.17266
2610028H24Rik	815.2413	828.3573	585.2832	461.1741	488.4618	487.3873	734.9498	961.9612	747.4078	853.5426
2610042L04Rik	2.27808	0	1.14871	1.904	1.18904	1	1.26472	1.0112	0	0
2610044O15Rik8	486.37161	517.72759	416.13486	583.0002	454.15555	462.00033	551.57562	551.9566	531.28999	569.38772
2610301B20Rik	336.51291	327.525	353.228	480.272	346.517	290.88	357.503	392.00004	337.03038	332.757
2610318N02Rik	2	3.549898	9.13522	10.92084	18.61312	5.3755	17.65584	5	1.48245	3
2610507B11Rik	3756.17	3990.95	5875.84	6972.95	5871.16	6106.28	6739.57	4874.42	3844.69	4348.38
2610528A11Rik	0	0	3	0	0	7	0	0	0	2
2610528J11Rik	130	148.99977	69	58	73.00001	68	120	117.0002	101	149.99978
2700049A03Rik	206.7025	187.6051	226.9998	232.9998	209.9997	192.9999	243.5888	208.7148	197.4544	205.9998
2700062C07Rik	81.3695	77.4369	128.93	104.534	108.246	114.177	93.3985	116.615	89.3093	109.134
2700097O09Rik	25.4651	28.0979	24.8515	17.3881	16.4471	19.9792	21.9592	37.2861	22.535	24.7942
2810004N23Rik	450.081	449.9	471.316	558.166	381.531	469.777	506.728	499.228	452.522	432.965
2810021J22Rik	103.99975	100.239	117.529	160.03645	132.754	158.91341	156.43164	101	137.411	124.0003
2810408A11Rik	0	0	17.8237	23.42261	15.634	1.383	0	10.7504	22.74288	4.853781
2810459M11Rik	18.99998	31.99998	10	18.00003	17.00003	8	14	26	32	26
2900026A02Rik	1801.0013	2059.0057	1677.221	1619.526	1621.569	1579.489	1951.354	1890.4812	1853.9831	2047.9433
2900092C05Rik	0	0	0	1	0	0	1	0	0	0
3110001I22Rik	0	0	0	0	33	23.3365	0	0	21.8989	20.7775
3110009E18Rik	24.28715	25.902658	6.63061	8.94235	15	14.8972	14.80155	17.00004	12	26.868685
3110021N24Rik	10.6479	7.03198	25.3188	16.6647	12.3027	8.70137	10.3903	4.5897	9.90925	2.27554
3110040M04Rik	0	0	0	0	0	0	0	0	0	0
3110040N11Rik	73.7866	85.6359	89.6757	102.905	85.3681	87.7453	123.932	106.841	55.6612	77.2396
3110082I17Rik	262.9553	295.9432	491.6658	567.256	436.3387	427.9158	371.6142	316.7575	260.9999	373.6724
3110082J24Rik	0	0	0	0	0	1	0	0.388382	0	0
3300002I08Rik	2	0	2.37768	7.24738	3.15974	4.90134	7	0	0	0
3425401B19Rik	64.1456	55.1352	65.8414	74.5576	69.4875	72.4501	68.0825	49.0836	58.0659	95.8411
3830403N18Rik	6	14	11	7	7	13	17	13.162	13	21
3830406C13Rik	541.42164	592.36615	424.91295	454.78005	421.21351	412.8444	534.2045	645.89786	607.6092	515.0398
4632433K11Rik	0	0	5.37715	0	0	0	0	0	0	0
4833420G17Rik	675.6717	735.6585	612.072	682.3262	574.7471	555.4094	663.522	829.6534	671.9882	729.6924
4833439L19Rik	2355.49815	2304.22592	1898.3863	2123.63558	1740.77224	1881.331684	2295.9835	2489.821231	2225.9917	2402.231396
4921504E06Rik	0	0	0	0	0	0	5	2	0	0
4921507P07Rik	34	31	20	27	8	12	28	24	22	28
4921509C19Rik	4.00036	1	3	0	0	1.00023	5.00034	3.00024	1	3.00001
4921511C20Rik	0	0	0	0	0	0	0	0	0	0
4921517D22Rik	1	0	1	0	0	0	0	0	0	0
4921524J17Rik	304.296	269.248	225.606	281.096	259.936	218	249.409	334.359	254	265.727
4921524L21Rik	0	0	0	0	0	0	0	0	0	0
4921536K21Rik	28	28	27.0004	24	29.6729	20.0087	29	36	27	33
4921539E11Rik	0	0	0	0	0	0	0	0	0	0
4930402F06Rik	0	0	0	0	0	1	0	0	0	0
4930402K13Rik	0	0	0	0	0	0	0	0	0	0
4930404H24Rik	0	0	0	0	0	2	0	1	0	0
4930404N11Rik	79.5345	93.8692	82.1743	70.5408	62.3856	70.8903	80.0457	82.584	71.6833	108.7672
4930407I10Rik	0	1	0	1	0	0	0	0	1	0
4930412O13Rik	4	6	1	3	8	7	8.19236	5.999997	3	8.999997777
4930415L06Rik	0	0	0	0	0	0	0	0	0	0
4930430F08Rik	131.94609	136.545	107.02352	134.0491	108.157855	98.0373	158.84566	160.76931	119.61328	160.75921
4930432M17Rik	0	0	1	3	0	1	0	0	0	0
4930433I11Rik	0	0	0	0	0	0	0	0	0	0
4930438A08Rik	2	0	3	1.999996	1	1	1	0	0	3
4930444G20Rik	0	0	0	0	1	0	0	0	0	0
4930444P10Rik	20.95595	14.813317	14.49109	30.70083	21.64581	18.56746	19.45288	21.04063	17.0256	23.0078
4930447A16Rik	0	1	0	0	0	1	1	1	0	1
4930447C04Rik	11	6	20	15	8	9	16	8	10	11
4930447F04Rik	0	0	0	0	0	0	0	0	0	0
4930449I24Rik	0	0	0	0	0	2	0	0	0	0
4930451I11Rik	0	0	0	0	0	0	0	0	0	0
4930453N24Rik	657.937	636.587	642.6	758.659	569.992	546.764	547.65	715.114	530.475	638.447
4930455H04Rik	0	0	1	1	1	0	1	0	5	0
4930467E23Rik	0	0	0	0	0	0	0	0	0	0
4930469K13Rik	0	0	1	1	0	0	0	0	0	0
4930470P17Rik	0	0	0	1	1	0	0	2	0	0
4930474N05Rik	3.14766	2.03282	1.15453	1.26866	0	3.23413	3.64917	1.01376	2.02622	3.12715
4930480E11Rik	0	0	0	0	0	0	0	0	0	0
4930486L24Rik	0	0	24.8674	0	25.2029	26.3568	61.4998	7.98789	30.0985	38.736
4930503B20Rik	0	0	3	5	2.97913	8	0	0	0	0
4930503E14Rik	7	2	1	0	0	0	0	1	2	4.08246
4930503L19Rik	96.45202	135.7611	188.6118	194.5614	199.97129	164.4764	225.15794	100.3488	114.32762	112.5931
4930505A04Rik	11.0402	12	15	6	7	12	10	11	22	9.85574
4930512M02Rik	0	2	0	0	0	0	0	0	0	0
4930513O06Rik	0	0	0	0	1	1	0	0	0	0
4930519G04Rik	7.64255	2.03784	2.00429	3.13868	0.425608	3.28308	0	0	6.02876	7.04391
4930522H14Rik	0	0	0	0	0	0	0	0	0	0
4930522L14Rik	90.8733	93.85495	76.34282	78.2422	70.0365	51.24205	99.0496	89.0222	107.2035	85.58757
4930523C07Rik	1829.87	1810.32	1061.47	1708.94	1096.83	1162.33	1356.4	1771.08	1693.07	1713.09
4930524B15Rik	0	1	0	0	0	1	1	4	0	0
4930544D05Rik	0	2	0	0	0.999992	4	1	1	0	0
4930544G11Rik	0	0	0	0	0	0	0	0	0	0
4930548H24Rik	0	0	0	0	0	0	0	0	0	0
4930550C14Rik	33.99998	44	31	41	19	31	47	42.99999	38.99995	58
4930556J24Rik	2.03053	0	4.00706	5.06135	1.00204	1.00413	0	2.02715	0	1.00684
4930558C23Rik	0	1	0	1	0	2	1	0	1	0
4930558K02Rik	0	0	0	0	1	0	0	0	0	0
4930562C15Rik	96.00790744	113.7130098	273.739	380.605	341.48854	279.575	260.375	144.0610037	100.9700095	177.82
4930563E22Rik	9.3518	5.91748	9.79052	7.6706	3.9376	16.5811	4.04919	15.6896	15.828	13.2004
4930563M21Rik	2	2	2	0	0	1	0	3	2	3
4930564D02Rik	0	0	0	0	0	0	0	0	0	0
4930568D16Rik	0	0	0	0	0	0	0	0	0	0
4930572O03Rik	0	0	0	0	0	0	0	0	0	0
4930578G10Rik	13.00003	7.45489	12	16.78154	18.3702	11.1242	14.3157	20.614	7	13.9849
4930578I06Rik	1	0	0	0	0	0	0	0	0	0
4930579F01Rik	0	2	0	0	1	0	1	0	2	0
4930579G24Rik	41.6145	50.9908	111.224	163.137	79.4871	85.6325	115.181	48.1778	46.6678	71.0651
4930583I09Rik	0	0	0	0.5	0	0	0	0	0	0
4930590J08Rik	13	9	3	10	9	8	2.10997	1	2	2
4930595D18Rik	0	3	0	3	1	0	2	9	0	4
4930595M18Rik	0	0	0	0	0	0	0	0	0	0
4930596D02Rik	0	0	0	0	0	0	0	0	0	0
4931400O07Rik	0	0	0	0	0	0	0	0	0	0
4931406B18Rik	8.40952	21.0687	12.46704	19.35052	21.00126	17.94443	14.4032	13.28772	7.26137	21.995486
4931406C07Rik	790.98121	877.23576	865.38959	776.35245	753.58789	903.57152	940.42465	910.56749	822.89328	903.22345
4931408C20Rik	0	0	0	0	0	0	0	0	0	0
4931414P19Rik	152	168	131.00016	113	96	125	143	139	168.99994	146.99957
4931417E11Rik	0	0	0	0	0	0	0	0	0	0
4931422A03Rik	0	0	0	0	0	0	0	0	0	0
4931428F04Rik	176.9074	142.5434	132.2555	177.22647	188.9562	166.8136737	224.2122	212.3817	180.1325	192.4512
4931428L18Rik	0	0	0	2.861464	0	1.683330965	5	0	0	0
4931429L15Rik	0	3.0042	1	2.00129	1.00296	0	4.00235	2	2.0000049	3
4932411N23Rik	0	5	2	4	5	3	1	0	1	6
4932414N04Rik	6	8	2	10	2	8	4.08209	10	0	4
4932415D10Rik	1	0	1.999997	0	1	0	0	0	0	0
4932429P05Rik	0	0	0	0	0	0	0	0	0	0
4932438A13Rik	827.0695	904.7355	973.1539841	1240.652023	1003.5192	981.4193	994.49894	959.8956839	905.39658	946.5667525
4932438H23Rik	5	2	4	5	3	6	4	6	8	2
4933400A11Rik	0	0	0	0	0	0	0	0	0	0
4933402D24Rik	0	1	5	0	4	1	2	0	1	6
4933402J07Rik	0	0	1	0	0	2	0	0	1	0
4933402N03Rik	0	0	0	1	1.03694	2	2.11815	2	0	1.02847
4933402N22Rik	0	0	0	0	0	0	0	0	0	0
4933403O08Rik	1.9999952	0	0.9999997	0	1	0	0	0	0	0
4933405L10Rik	2	3	0	3	0	2	0	1.59312	1	5
4933405O20Rik	0	0	0	0	0	0	0	0	0	0
4933407L21Rik	1	0.522588	1	0	0.589065	2.57035	2.000003	0	1.68682	0
4933409G03Rik	0	0	1	0	0	0	0	0	0	0
4933411K16Rik	8	6	4	9	5	8	21	10	7	15
4933412E24Rik	0	0	0	0	0	0	0	0	0	0
4933414I15Rik	0	0	0	0	0	0	0	0	0	0
4933416I08Rik	0	3.00409	0	0	0	0	0	0	0	0
4933417A18Rik	0	0	0	0	0	0	0	0	0	0
4933421I07Rik	0	0	0	0	0	0	0	0	0	0
4933424G06Rik	1	3	0	0	0	1	5	1	0	0
4933427D14Rik	181.974	155.58356	215.618	208.873	135.485	232.861	247.252	199.615	211.54225	173.56
4933428G20Rik	30.709	31.442	23.558	19.5405	27.719	31.868	34.6296	21.3932	25.4485	22.604
4933428M09Rik	0	0	3	1	5	4	0	0	2	1
4933430I17Rik	4	5	17	20	26	16	20	5	3	6
4933434E20Rik	549.0614	549.6259	565.0371681	605.6004	530.7309	523.7291	687.93352	620.1464765	643.7721	715.8882764
4933436I01Rik	0	0	0	0	0	0	0	0	0	0
5031410I06Rik	0	0	0	0	0	0	0	0	0	0
5031439G07Rik	1532.647791	1588.168	2378.053	2062.062	2096.545	2081.246	2253.193	1696.261	1540.737	1781.734
5430401F13Rik	0	0	0	0	0	0	0	0	0	0
5430402E10Rik	0	0	0	3	0	0	0	0	0	0
5430403G16Rik	58.5329	55.3507	45.5891	53.7143	50.3971	51.6016	59.7869	55.4241	65.4256	58.7842
5530400C23Rik	0	0	0	0	0	0	0	0	0	0
5530401A14Rik	0	0	0	0	0	0	0	0	0	0
5730409E04Rik	449.4577	432.4315	382.512	555.672	422.4096	461.2748	496.67	444.3292	401.376	441.719
5730455P16Rik	398.28922	393.462	524.0189	803.6784	552.5445	533.929	540.646	439.88603	421.916	511.06965
5730480H06Rik	80.52496	112.72504	95.93639	115.33158	73.45602	84.6786	128.53696	119.0933	72.82896	68.57801
5730507C01Rik	34.2709	23.3722	22.0412	18.3998	21.1114	42.0467	31.8736	25.1311	22.1767	34.64467
5730522E02Rik	1	0	0	0	0	0	0	0	0	1
6030458C11Rik	497.9988	490.9867	503.3711	533.8946	541.75584	566.4935	600.566	501.884	477.023	503.3319
6030468B19Rik	15	12	7	14	18	10	6	9	7	14
6030498E09Rik	0	0	0	1	1	0	0	0	0	0
6330403K07Rik	4.99623	0	0	0	0	12.6788	0	0	4.69598	11.2832
6330409D20Rik	54.3142	47.372	33.535	55.1725	36.3244	45.65	36.8212	46.0236	35.2703	44.9089
6330411D24Rik	0	0	0	0	0	0	0	0	0	0
6430548M08Rik	2336.11068	2583.01661	1872.37878	2372.95803	1831.28299	2261.273	2438.714601	2570.88121	2235.95676	2840.9181
6430550D23Rik	5.636091	7.31882	4.69101	4.22243	2.5236	5.99262	13.233304	7.85365	7.46322	4.98033
6430571L13Rik	13.0807	10.1233	12.4061	24.0459	11.0538	15.0393	12.0502	10.1567	15.0821	16.0657
