Gene name	CMC_heart_24h_MI_16_011_S11	CMC_heart_24h_MI_20_012_S12	CMC_heart_24h_MI_30_013_S13	CMC_heart_24h_MI_32_014_S14	CMC_heart_24h_MI_34_015_S15	CMC_heart_24h_SHAM_13_016_S16	CMC_heart_24h_SHAM_17_017_S17	CMC_heart_24h_SHAM_19_018_S18	CMC_heart_24h_SHAM_21_019_S19	CMC_heart_24h_SHAM_25_020_S20
Dgkd	630.7768	1130.59606	1063.05329	1280.61933	1717.896	548.1074	524.4671	314.35099	340.841	623.4157
Dgke	279.139	321.085	286.235	348.301	502.855	360.4651	297.1904	241.0481	183.1375	390.949
Dgkg	7.97736	12.8968	2.93228	9.08044	16.3095	3.79632	1.96488	0	2	5.66897
Dgkh	0	0	0.57071655	1.2854226	0	0	0	0	0	0
Dgki	0	0	1	0.998953	0.9997	1	2.28227	1	0	0
Dgkk	0	1	0	4	1	0	1	0	0	0
Dgkq	14.5011	20.5689	45.9407	2.79E-06	10.1485	0	16.9244	0	12.178	13.1505
Dgkz	182.5489	439.9989	303.0203	387.8227	483.3480407	197.8971	139.6143	132.3598	104.1422	216.067
Dglucy	581.40263	519.09753	404.6222	584.04565	604.3583184	751.34886	765.67822	426.96344	491.00026	831.95708
Dguok	160.886	218.58712	173.05176	182.473	253.06148	202.118	152.64447	121.61728	154.31522	170.20865
Dhcr24	55	109	67	95	104	26	19	26	60	36
Dhcr7	50.99996	70.89313	83.41912	58.0022725	111.2347	51.45507469	37.91336	29.0104	43.62254	62.14439
Dhdds	220.3126	426.8089	281.3677	205.95	460.0843	192.29776	175.9708047	111.6474	153.03476	308.3023
Dhdh	310.859	311.923	245.825	315.443	377.301	384.696	288.563	213.927	275.593	401.028
Dhfr	43.3229	63.3354	53.2699	37.3996	65.2358	64.6584	38	63	41.9967	65
Dhh	0	0	0	0	0	0	0	0	0	0
Dhodh	127.7877	190.32893	152.1094	158.59443	241.43068	148.276	118.82473	82.1068	92.9046	165.6533
Dhps	146.922	342.758	219.805	255.892	317.927	136.58	120.142	99.0042	89.9954	121.731
Dhrs1	347.734	383.212	349.528	401.16	529.984	356	268.004	204.547	252.329	335.044
Dhrs11	596.214	742.777	522.893	653.592	841.674	520.461	519.034	394.491	388.38	679.112
Dhrs13	48.8269	88	36.579	42.8701	110	0	0	0	18.19594772	29.9674
Dhrs2	0	0	0	0	0	2	0	0	0	0
Dhrs3	414.5014	579.34726	354.189	346.404	503.96562	630.92869	484.17	332.653	298.7242	537.33416
Dhrs4	906.36689	1208.02028	1077.8729	1256.72646	1651.492819	891.0001	749.66017	657.5218	741.04061	1014.25691
Dhrs7	213.204	238.394	201.37544	218.731	298.706	222.092	180.92	152.387	238.431	237.496
Dhrs7b	184.8585	229.1279	217.2376	175.9035	319.8553	162.0141	133.6164	134.62387	145.42527	222.6637
Dhrs7c	566.973	538.33	449.191	442.473	593.874	849.349	741.018	601.851	615.263	846.933
Dhrs9	30.0149	57	36	30	76	5	9.33188	3	10	2.00372
Dhtkd1	43.0007	35.4422	35.5333	40.5821	60.044	61.6174	57.449	32.1118	45.0029	62.5701
Dhx15	1037.91	1317.59782	1359.5	1476.89	2059.57	835.476	722.11	459.077	620.261	910.397
Dhx16	224.883	387.16776	328.01387	311.23958	462.851	209.782	122.973	105.847888	135.99352	228.523
Dhx29	250	393.159	371.523	321.772	597.756	235	226.05	153	148	322.063
Dhx30	400.5075905	795.7734174	701.065181	692.93567	1086.9959	326.491825	347.13474	223.90092	236.2401	458.79818
Dhx32	565.5287	1071.4275	1087.7209	1155.61222	1581.79085	413.116	327.408	255.4490002	282.415	553.49093
Dhx33	220.746	426.401	408.34	435.005	709.923	142.699	138.124	114	112	193.855
Dhx34	63.49183	103.283	109.00002	77.4413	124.62328	59.67292	39	27.6108	36.962	69
Dhx35	173.895	265.648	298.233	270.269	403.343	162.5520004	141.749	115.499	87	212.49521
Dhx36	537.972	718.968	659.393	783.356	1042.69	623.378	510	339	400	626.417
Dhx37	171.7049	327.47262	293.03858	291.49223	459.5067	152.38128	123.44661	81.19155	76.83828	191.70066
Dhx38	228	466	372	374	573.84	174	162	82	126	208
Dhx40	354	495	454.996	406.83319	641.95279	285.863	281.178	129.463	166	315.108
Dhx57	0	0	0	0	0	0	0	0	0	0
Dhx58	34.7714	72.7288	67.9656	72.7827	99.1502	28	9.93854	18	10.6507	36.2198
Dhx8	251.699	441.525	421.458	499.1760428	651.015	152	171.235	96	114.101	218.591
Dhx9	1175.1881	1498.1719	1842.007	1946.797	2683.707	960.731	844.1356	503.0051	722.491	1016.63941
Diablo	932.7282	1274.6371	977.4852	1128.35054	1528.32785	902.16477	751.5559	560.331	653.55	1055.75697
Diaph1	489.0000003	1000	863.071185	854.0008	1353.001001	324.999969	303.0000001	158.000023	296.0000004	350.6240007
Diaph2	284.525	389.464	475.458	519.361	603.34	241.743	274.3931	132.1171	182.2132	374.382
Diaph3	17	3.47062	10.15820246	2.22654	2.8742	2.86926	0	3.3763	4.38172	0
Dicer1	307.212	570.0304	566.5518	512.1583	821.5993	275.94333	268.9689	152.581	202.685	353.0019
Dido1	355.05065	666.7460356	597.08822	750.8423	1017.139133	324.2423	241.58036	174.0081	265.02739	448.7939
Diexf	7.942067664	118.1989	65.7091	92.36841	234.24255	78.34827	8.32E-07	43	59.44285	70.9671
Dimt1	108.578	129.758	167.442	129.924	246.868	73.9565	58.607	27.5147	44.4251	91.0978
Dio1	1	0	0	0	0	0	0	0	0	0
Dio2	37	49	61	75	138	21	18	17	10	60
Dio3	4.000003	9	1	5	6	1	1	0	0	0
Dip2a	106.7509	210.0412	209.6741	235.5298	368.2683402	66.9138	80.7772	58.1906	40.1296	163.0691
Dip2b	138.412	237.453	265.574	210.535	261.982	31.5447	133.214	33.2618	11.093	129.893
Dip2c	613.9997	988.0003	901.0001	933.9998	1308.0011	647.99982	691.9997	356.0002	341.00019	880.00024
Diras1	0	0	0	1	0	0	0	0	0	2
Diras2	3.00054	2	3.0006	3	4.00018	1.84286	1.0004	4	0	0
Dirc2	401.073	471.709	347.38	433.383	542.362	405.338	379.097	257.013	325.157	376.414
Dis3	96.6685	159.145	163.539	144.313	231.237	80.6842	27.337	70.5885	81.023	121.804
Dis3l	367.5920377	443.5314499	401.3259726	392.7983601	636.91489	393.4453344	346.94268	189.9997374	209.4447567	451.8480937
Dis3l2	123.4772	174.2947	143.2499	164.833	201.6606	120.0256	98.4442	75.8227	90	126.8177
Disc1	6.274795	38.22236	20.66246	17.06167	35.46882	13.49764	18.437579	8.04979	8	18.624949
Disp1	39.6656	96.1081001	85.90117063	57.82811	120.79075	47.27014	41.23056	22.91871	33.0648	72.21786
Disp2	1	4.00797	4	3	4.000002	2	0	1	0	0
Disp3	0	2	3	3	3	0	0	0	0	0
Dixdc1	132.23018	237.33914	110.4810049	166.1864158	396.64522	157.30039	89.67485	75.80001	118.11874	249.33532
Dkc1	330.337	510.885	583.245	522.58863	836.29096	267.11066	213.45	164.089	217.867	269.37326
Dkk1	0	0	0	1.91057	0	0	0	0	0	0
Dkk2	5.00008	3.00399	1.00118	7.00379	5.58305	2	1.00273	2	0	5.84037
Dkk3	369	101	158	144	196	307	123	63	170	73
Dkk4	0	0	0	0	0	0	0	0	0	3
Dkkl1	1	1	0	0	0	0	0	0	0	0
Dlat	4654.71	5675.7	5169.08	5763.89	7392.76	5308.86	4808.76	3431.98	3781.59	5648.96
Dlc1	1242.908	2469.72638	2547.61062	3193.13994	4664.19688	968.5753	932.03505	717.2222	725.7388	1581.047
Dld	6911.83	7617.44	7029.04	7960.79	10743.2	7484.56	6584.37	4511.51	4355.54	8501.38
Dlec1	0	0	2	0	0	0	0	0	0	0
Dleu7	0	0	0	0	0	0	0	0	0	0
Dlg1	492.87257	853.2447754	846.2383	995.1134656	1199.0202	706.70036	874.49271	349.7337	490.054	988.11271
Dlg2	38.90568	29.81258	36.95525	27.4221	38.49874	15.99998	26.8138	5	19.84664	9.47548
Dlg3	58.75449	32.0875	11.74444	52.429975	54.03121	50.31814127	24.05439	0	5.73005	7.30903
Dlg4	0	0	0	2.79384	1.93304	0	0	0	0	0
Dlg5	145.35113	301.7996	236.6641448	283.9995661	386.0001	70.5499	80.99999858	48	62.65495014	108.0001003
Dlgap1	3	1.47712	0	3.56165	10.000003	11	5.10292	1.47855	0	0
Dlgap2	0	0	0	0	0	0	0	0	0	0
Dlgap3	0	1	3.2294	5	3	0	1	0	0	1
Dlgap4	527.43947	1024.864981	1027.293926	1221.03801	1638.106797	360.0784	329.3255234	290.1893	370.04024	448.02995
Dlgap5	12.30478	6.20285	4.64964	8.02303	1.48599	5.21389	2.073545	1.08783	4.15626	1.00095
Dlk1	0.5	0	0.5	0.5	1	0	0	0	0	1
Dlk2	4	13	20.00002	3.0000023	7.000003874	1	0	1	0	3
Dll1	38.149	73.85372	56.7408	84.4714	95.0779	24.6673	18	18.8523	19.0915	35.7834
Dll3	1	0	0	1	0	0	0	0	0	2
Dll4	245	438	347.667	431	643	115.759	134.373	109	132	140
Dlst	5806.28	7978.21	7349.7	8035.61	11395.9	5849.86	5622.85	3041.93	3282.29	6790.39
Dlx1	0	0	0	0	0	0	0	0	1	0
Dlx2	0	0	1	0	0	0	0	0	0	0
Dlx3	0	0	0	0	0	0	0	0	0	0
Dlx4	0	0	0	0	0	2	1	0	0	0
Dlx5	4	0	1	1	2	0	0	1	0	1
Dlx6	2.17792	4.32937	4.39415	6.84429	6.36215	3.00207	3.28182	0	1.03785	2.84421
Dmac1	327	389	373	312	476	262	204	206	231	288
Dmac2	236.4499	318.409	258.715	288.8627	395.103	222.0862	266.3797	185.083	217.547	317.7512
Dmap1	108.179	183.519	152.24	183.873	261.384	87.924	96.6791	92.5018	63.4175	128.404
Dmbt1	0	0	0	0	0	0	0	0	0	0
Dmbx1	0	3	1	0	0	0	0	0	0	0
Dmc1	0	0	0	0	0	0	0	0	0	0
Dmd	2048.92063	3300.05135	4227.6558	4020.369	5625.0231	2199.60615	2079.55477	830.83	1204.987	2829.944
Dmgdh	0	0	0	4	0	0	0	0	0	0
Dmkn	41.99997	36	4	12	23	57.99996104	36	43	55.00007	7
Dmp1	3	1	7.50796	3	1	1	0	1	0	1.23172
Dmpk	2620.8845	4143.62665	3294.10402	3523.28434	4516.45698	2633.85296	2467.25	1827.0095	1753.2232	3254.81569
Dmrt1	0	0	0	0	0	0	0	0	0	1
Dmrt2	0	0	0	0	2	0	1	0	2	0
Dmrt3	0	0	0	0	0	0	0	0	0	0
Dmrta1	0	2.00001	2	1	2	6	3	1	0	0
Dmrta2	0	3	0	0	3	0	0	0	1	0
Dmrtb1	0	0	0	0	0	0	0	0	0	0
Dmrtc1a	0	0	0	0	0	0	3	0.999999854	0	0
Dmrtc1b	0	0	0	0	0	0	0	0	0	1
Dmrtc1c1	0	0	0	0	0	0	0	0	0	0
Dmrtc1c2	0	0	0	0	0	0	0	0	0	0
Dmrtc2	0	0	0	0	0	0	0	0	0	0
Dmtf1	169.7963	268.189	292.178	259.604	432.947	194.8705	127.0031	101.8054	148.939	198.6882
Dmtn	38.227628	54.47482	59.9812	52.02165	80.77591	38	18.38688	20.40934	17.4956	35.70804
Dmwd	136.026	224.536	216.677	236.8004	337.1536	133.338	100.242	80.4189	102.3041	178.794
Dmxl1	688.832	908.067	932.975	912.6402	1342.558	768	781.997	359.9997	382	1125.7167
Dmxl2	374.20678	531.43832	510.50883	608.6584	767.6634	445.55236	435.9487	182.6981	173.454	534.3035
Dna2	12.2782	35.3398	23.8627	30.7735	30.8867	0.330729	0	2.21174	5.79997	0.000272091
Dnaaf1	0	0	0	1.36962	0	1.44289	2.15486	0	0	2.45895
Dnaaf2	71.4932	94.3706	55.6569	53.381	92.6589	49.0143	38.9257	38.4996	31.271	52
Dnaaf3	36	62.5562	34	34	62	60	62	40	59	67
Dnaaf5	117	213.001	154.3869	190.0002	305.7391	104	84.0892	61.3149	75	136.317
Dnah1	0	0	1	2.54711	6	0	2	0	0	5
Dnah10	0	1.000000146	2.000000444	0	0	0	0	0	0	0
Dnah11	0	0	0	0	0	0	0	0	0	0
Dnah12	5	3	4	4	6	4	10	3	0	6
Dnah14	0.412061	0	0	0.349383	0	0	0	0	0	0
Dnah17	8.999991872	17.6939001	11	27.0000172	25.0000395	5.00387581	2	1	0	5.99999717
Dnah2	9.5283	28	25.00004982	31	35	19	15.00000753	3.252431081	7.000001069	14.00003842
Dnah3	5.14714	9.54038	5.416786	8.8655	2.419014	4.32038	2.162427	1	3.981296	2.047568
Dnah5	1	0	0	0	0	0	0	0	0	0
Dnah6	8.000000753	6.08437168	9.00000186	7.00000412	20.99995143	1.523385012	4.5095984	5.999999511	0.999999884	10.36930635
Dnah7a	0	1	0	0	0	0	0	0	0	0
Dnah7b	5.87351	8.66453	3.14629	7.58418	8.99085	16.414	18.5493	0	9.1553	17.0887
Dnah7c	4	4.33547	3	3	6.80847	2.49692	1.18108	3	1.8447	2.2065
Dnah8	4	6	6	5	10	3	3	4	0	9
Dnah9	1	2	2.000001	0	1	0	0	0	0	0
Dnaic1	0	0	0	2	0	0.498359	2.30544	3.98329	0	0
Dnaic2	2	3	3.57412	1.51712	2.09017	7	0	2	0	1.5136
Dnaja1	1055.0954	1514.84293	1414.61243	1416.42248	1983.54632	807.48628	639.45198	554.48271	626.58532	925.5305
Dnaja2	3719.59	4432.57	3853.88	4640.94	5596.04	4000.61	3115.83	2365	2482	3987.43
Dnaja3	1779.532	2455.477	2300.047	2315.406	3304.808	1866.67	1535.226	1147.752	1190.804	2118.129
Dnaja4	1582	2124	2265.995513	2205.0162	3199.109697	1082.0042	969	731.0001	846.00038	1221.9415
Dnajb1	179	408.9726	295	478	558.868	108	106.788	80	118	153
Dnajb11	861.01443	1110.3579	1177.1322	1104.96	1707.1318	641.09747	471.0076916	512.445	704.55995	747.7213
Dnajb12	399.84315	586.7147	521.862	495.4618	776.8944	358.0001	300.00025	151.48341	237.40185	373.6615
Dnajb13	5.015159	5.68769	7.04786	3.38268	6.79218	4.02482	3.01865	0	1	4.01999
Dnajb14	293.11496	449.065	449.415	449.72633	750.755	273.564	216.699	168.022	193.161	404.754
Dnajb2	844.55045	1231.0218	1019.5668	1041.56736	1664.0013	755.4253	609.6241	475.41481	600.4694	1036.63717
Dnajb3	3	6	7	2	0	1	1	0	1	1
Dnajb4	2257.9977	2808.7874	2858.74926	3239	3862.4854	1818.9374	1592.9996	941.9997	1256.00429	1673.903
Dnajb5	590.9483	896.53877	852.7048	1041.4339	1164.18131	612.23775	590.8807	319.8168	399.0103	502.1968
Dnajb6	1055.0251	1427.95507	1349.56907	1612.70039	1938.05878	932.41623	790.6061	621.83	673.50152	1106.4963
Dnajb7	0	0	0	0	2	0	0	0	0	0
Dnajb8	0	0	0	0	1	0	0	0	0	0
Dnajb9	944	1377	1275	1390.96	1704	698	595	544	532	753.964
Dnajc1	295.798	486.39369	387.52493	454.03334	613.18867	289.5156	284.4676	184.7844	154.43161	301.35588
Dnajc10	897.762	1142.71	1077.93	1086.49	1486	822.257	690.897	484.742	541.951	885.867
Dnajc11	566.7150231	871.091	967.726	850.819	1264.61	429.96	395.06	308.254	340.782	627.6419
Dnajc12	102.7284	119.401	119.9537	112.0354	108.3136	138.7949	118.46468	73.59874	73.28	131.8111
Dnajc13	567.4511	907.5018	850.228	887.38805	1276.91997	470.8522	494.75015	284.48557	315.00033	620.19
Dnajc14	547.28516	865.46453	763.8716	807.3372	1178.80561	457.45468	410.11208	295.24352	333.30989	526.26422
Dnajc15	387.085	553.132	465.716	436	662.998	382.53	381.181	245.096	295.998	503.53
Dnajc16	365.888	527.9	487	460	835.84661	365	346	169	237	528.963
Dnajc17	56.8939	94.8898	68	79.1036	92.6272	25.4293	38.6942	40	31.3683	52.5563
Dnajc18	334	482	463.147	467.589	723.188	368.505	361.618	178	265	392.244
Dnajc19	474.47275	699.8475	549.7442	618.9828	843.13385	493.567	492.67094	296.87636	330.00485	511.86518
Dnajc2	490.7874	647.7844	654.96265	624.21152	907.3491	370.00865	299.2047	269.6895	313.705	416.16195
Dnajc21	542.392	657.237	694.083	705.948	1055.91	408.099	352.805	235.335	303.098	566.588
Dnajc22	1	0	4	4	0	0	1	0	0	2
Dnajc24	95.1594	96.5812	127.26946	75.4261	142.632	69	73.49769	42.0687	67.67215	80
Dnajc25	280.6014	310.4678	348.9424	311.0876	397.0294	294.0741	251.6372	174.6814	171.0166	326.5004
Dnajc27	163.6316	251.84325	269.1617	271.83235	399.1426	164.53582	135	107	107.737875	243.28619
Dnajc28	526.295	471.685	338.666	400.049	599.70216	774.908	711.981	427.707	516.882	883.207
Dnajc3	1209	1496	1638	1970	2505	881	729	611	627	1035
Dnajc30	254.527	416.565	315.975	317.213	389.206	229.504	215.357	179.081	154.72	305.893
Dnajc4	206	266.0004	205.0004	252	327	187.0004	161	119	135.0004	168.9995
Dnajc5	847.922	1392.433	1339.942	1531.96022	1918.434	641.4327	583.7942	393.7872	537.0413	810.825
Dnajc5b	0	0	1	0	1	0	1	0	0	1
Dnajc5g	0	0	0	0	0	0	0	0	0	0
Dnajc6	7	4.000000293	0	5.000001101	2.000004	1.999999045	2.000003	0	1	6.000000256
Dnajc7	1027.36	1292.3	1185.2	1487.06	1742.36	885.351	718.334	539.749	621.053	810.889
Dnajc8	938.4789	1188.154	1165.308	1247.83253	1725.69763	706.00047	579.9377	454.4077	548.624	747.553
Dnajc9	172.105	188.879	168.537	103.87	194.338	167.888	122.061	106.906	102.154	187.94
Dnal1	87.4484	196.21753	150.5932	124.15093	243.38485	124.524	112.19202	70.2067	83.0013	164.735
Dnal4	6.46648	8.27926	14.6604	14.668	9.68053	33.6317	11.4183	22.7441	18.727	10.5067
Dnali1	0	0	1	1	0	0	0	0	0	0
Dnase1	1	4.10259	1	0	2	1	3	0	0	2
Dnase1l1	181.037	223.55687	161.785769	165.37742	240.6728	126.9968	114.37047	88.99997	119	167.90676
Dnase1l2	0	0	2.62231	4.00332	2.8285	0	2.26106	0	1.43373	3.09485
Dnase1l3	1	1	2	0	3.19726	0	1	2	1	0
Dnase2a	108.81613	120.85305	77.96944	102.911	131.1998	62.94778	49.7339	61.92384	62.23019	51.5879
Dnase2b	1	0	0	0	0	0	0	0	0	0
Dnd1	15	22	2.60052	6.04357	12.6046	9.8941	15.392	7	25	14
Dner	2	0	0	4	3	0	1	0	0	0
Dnhd1	12.58508	10.3709	13.3593	18.98817	24.156239	5.50513	8.72534	5.60318	2.24544	1.27975
Dnlz	319.818	540.878	427.953	427.28	715.176	271.015	247.442	164.443	188.4	344.657
Dnm1	30.59463	112.62368	86.65063	75.26317	125.71593	61.00007	44.3059	12.44885	40.03089	52.80609032
Dnm1l	0	0	0	0	0	0	0	0	0	0
Dnm2	685.13529	1162.4273	1093.536202	1016.5596	1507.6327	549.0993	546.0055	284.6131001	336.296457	616.1076
Dnm3	46.2619	74.3514	53.56738	53.19016	85.63567	42.1986	45.74197	32.77779023	34.91969	55.5905
Dnmbp	126.99991	213.00037	166.99998	195.99997	270.0001	100.99997	112.99999	44	94	131.0001
Dnmt1	221.645	353.9004	398.396	282.5758101	583.958	192.0000004	170	114.0000003	134.9997	199
Dnmt3a	295.9995	637.5107834	520.77683	589.9610002	855.3336188	325.99986	323.450797	234.94048	268.79455	491.16412
Dnmt3b	18	35.000031	23.00000163	19.6379	46.1062	11.00000002	15	12	15.00004	10.00000003
Dnmt3c	0	0	0	1.08517	0	0	0	1	0	0
Dnmt3l	1.33621	15.99998035	5.13757	15.00003	20.05238002	0	0	3	2.36499	7.000000472
Dnpep	607.603305	824.704934	648.3000384	770.875411	975.0054	534.6066978	454.9863048	313.4087107	372.794052	544.5665698
Dnph1	0	0	0	0	0	0	0	0	0	0
Dntt	0	0	0	0	1	0	0	0	0	0
Dnttip1	187.605	332.6944	290.5669439	290.0684	402.87733	189	132.272	86.7903	140.524	174.0001554
Dnttip2	701.817	989.615	1060.33	1164.91	1470.3	485.411	463	259	286.023	562.335
Doc2a	1.23553	0	0	1	0	0	0	0	0	0
Doc2b	20	11	9	7	5	7	17	3	7	6
Doc2g	1428.45	1797.94	1391.3	1753.54	1903.19	1646.91	1375.88	1042.34	1060.54	1737.5
Dock1	392.80605	636.88573	622.918	722.1165	927.79425	368	329.853	223.0883	255.99999	445.70558
Dock10	110.5143	203.39392	165.61061	157.395307	183.84392	73.62384	90.29268	45.95451	51.00001	76
Dock11	116.47387	176	141.0001	159	199	98	89	42.00005	66	124
Dock2	107	201.837	145	121	185.83775	56	72	43.2799	58.7621	80
Dock3	2.999998	5	3	4.000005	4	3	2	3	11	2
Dock4	152.672	268.73693	307.1543	318.2898	397.28	121.4336	193.9998	80	80.9737	226.986
Dock5	245.307	376.543	384.614	341.998	538.927	164	186.178	87.7491	131.252	215.836
Dock6	221.27022	374.282	335.279	425.09	535.278	200.7497	205.083	123.9343	141.9773	327.87825
Dock7	114.5335587	203.720548	220.30151	296.7891	417.69717	131.3695474	126.2071	37.68470003	26.34421054	161.0813
Dock8	172	393.312	285	327.071	442.795	140	174.25	106	157	212
Dock9	325.5241	431.6959	475.4809	612.3556	666.3233	301.4602	393.3275	86.7275	97.7738	432.8383
Dohh	363.24241	574.08295	504.3882	506.00241	755.85469	274.87296	246.44568	200.294	201.28553	316.6745
Dok1	50.6798	63.7784	50.2959	59.03724	64.0473	29.1447	33.4248	16	22.2067	26
Dok2	90.032	149.95	125	95.1568	168.149	41.7822	22	37.5934	71.826	35
Dok3	34.7417	160.0220017	47.2667	29.2542	57.7178	16.6999	20.0248	4.3662	13.5802	5.0244
Dok4	85.616	214.58191	163.49415	169.6028	278.23253	65.51700133	78.19800032	86.80150019	72.11670001	169.5339111
Dok5	24.4487	24	44	35.0073	56	1	1	4	9	9
Dok6	0	0	0	0	0	0	0	0	0	0
Dok7	285.00019	626.20006	575.2399	731.83427	808.09549	188.00024	154.99972	92.00006	206.0004	178.99967
Dolk	194	259	240	235	374	151	156	106	156	204
Dolpp1	72.64680003	141.2734	122.1606	95.0432	217.29431	56.99997	59	39.0722	64.7179	59.2796
Donson	4.83563	9.27671	5.89693	2.94154	9.17972	20.6679	1.55085	5.15686	6.99582	0
Dop1a	213.40607	349.2541269	386.97548	452.8736423	639.9778	195.38051	214.6205001	86.1494	74.4942043	316.6892
Dop1b	73.19907	175.186223	150.2929192	165.66351	204.2332	114.337369	97.5854	31.4533	35.1381	127.2892
Dot1l	413.0646	766.359	767.6694	867.0225	1243.0431	301.3188	289.3189	182.2664	196.5594	395.9279
Doxl2	0	0	0	0	0	0	0	0	0	0
Dpagt1	191.537	324.639	303.474	324.861	462.307	167.039	73.8449	132.56	87.2781	193.064
Dpep1	913	770.00252	737.000012	1024	909.9999	739	785.0004	279	468.00241	744.0002
Dpep2	82.6527	182.5426	121.3918	112.2894	148.05873	25.74488	25.3424	14.9073	25.99999	15.44052
Dpep2nb	0	1	0	0	0	1	0	0	2	0
Dpep3	5	9	5	2	7	0	1	3	1	0
Dpf1	3	2.999996	4.55897	0.408364	6.0000018	0	1.425908	0	2.999996	3.38465
Dpf2	322.9547	550.1858	438.2732	612.841	682.7044	309.8893	239.1279	178.073	236.5583	408.7898
Dpf3	56.99996	84.99995	91.99997106	106.99998	117.9999591	49.00000743	69.9999702	31.00005	31	102
Dph1	99.4915	147.6601	179.79121	147.01547	274.51	63.0812	56.3098	32.603778	53.30694	88.79474
Dph2	31.2872	75.4796	90.5972	61.3704	113.467	29.3125	36.9918	15.1234	0	35.181
Dph3	314.4228	533.0429	481.3219	459.0612	775.6542	241.9457	226.1021	138.1637	183.83203	320.8782
Dph5	172.447831	308.88291	331.82543	359.86629	493.3132	84.58313	68.21543	33.00004	85.64952	94.066373
Dph6	103.5562	158.9009	166.773	142.3938	255.6103	72.8417	48.693	45.7856	66.917	108.7060001
Dph7	52.5411	62.522	59.3434	81.7065	59.6397	50	50.4039	37	38	36.6325
Dpm1	287.9997	232.4332	212.3914	202.1759	221.2772	318.0332	249.9771	227.6811	286.0848	309.8519
Dpm2	149.5165	220.2183	187.84472	193.6633	277.2386	93.85317	69.9136	59.26066	87.23526	95.69235
Dpm3	91.27121	114.178	97.4177	93.0848	168.778	56	50	47.8818	31.1813	58.7734
Dpp10	7.34455	6.43879	6.40463	1.27805	12.4347	4.59986	1.19359	1.10936	1.47852	2.83231
Dpp3	270	517	397	378	636	177	182	143	184	201
Dpp4	64	34	19.4711	16.6222	27.5744	87	74.1588	41	48.1144	31
Dpp6	0	0	0	0	0	0	0	0	0	0
Dpp7	36.2498	12.8098	28.1803	17.972	43.8281	34.4604	28.1135	6.27972	5.02475	11.7714
Dpp8	1017.6603	1403.6559	1261.4964	1431.7369	1953.6655	1108.99	1044.5707	674.783	594.117	1376.84
Dpp9	450.555	783.574	665.929	634.383	1092.1	403.488	360.222	269.556	268.59	509.69
Dppa1	0	0	0	0	0	0	0	0	0	0
Dppa2	0	0	0	1	1	0	0	0	0	0
Dppa3	2	5	1	2	1	2	0	2	0	3
Dppa4	0	0	0	0	0	0	0	0	0	0
Dppa5a	0	0	0	0	2	0	0	0	0	0
Dpt	1578	1067	1085	1147	1461	1288	1053	696	810	1155
Dpy19l1	234	287.0003	332.9452	247.0003	449.836	162	120.2073	99	128	183.332
Dpy19l2	1	3	0	7	1	0	3	0	1	1
Dpy19l3	26.4387	19.1767	29.133	37.958	50.4902	28.0563	25.3697	12	14.8994	31.2755
Dpy19l4	363	435.5244	460.608	496.9753	585.376	420.0003	429.0000133	197.3303	241	511.396
Dpy30	0	0	0	0	0	0	0	0	0	0
Dpyd	152.889	150.851	100.63	146.955	147.746	152.658	139.174	70.7507	96.9245	165.131
Dpys	0	0	0	1	3	0	0	0	0	0
Dpysl2	192.189	254.768	205.256	228.083	310	228.808	119.509	138.639	257.25	152.353
Dpysl3	1148.0036	2167.9984	2727.0044	2260.9952	4030.9979	596	462.00014	400.184	505	632.9997
Dpysl4	9.65567	24.69118	23.64493	10.199837	30.58736	15.01189	11.1949	12.7940695	12.367	6.00376
Dpysl5	2	1	1.28245	2	1.28467	5	6.68844	6.72279	10.756	2.23082
Dqx1	4.00011	11.4704	10.162	9.12156	33.2588	7.01807	4.16589	10.0301	11.0016	9.7342
Dr1	512	718	712	736	1035	505	390	297	341	495
Dram1	91	153.00017	126.00021	128	230.00001	67	59	0	38	2.58E-08
Dram2	1083.6234	1083.26119	1164.15191	1164.6013	1699.44657	1070.1461	866.09059	560.82526	695.2418	1212.3937
Drap1	1750.4293	2508.8038	2113.8289	2469.6938	3049.8848	1358.01024	1157.833	910.7935	1175.9457	1459.8247
Draxin	1	3.00001	2	2.00732	1.00023	0	1	0	0	0
Drc1	0	0	0	1	0	0	0	0	0	1
Drc3	39.04399	82.7574	59	57.37576	62.81888	51	26.99998	22.01447	30	59.38089
Drc7	0	1	0	0	0	0	0	0	0	0
Drd1	6	10.70260012	6.444790125	9.000000036	12.9242	2	3	0	6	1
Drd2	20	25	31	28	29	27	5	20	15	20
Drd3	0	0	0	0	0	0	0	0	0	0
Drd4	0	0	0	0	0	0	0	0	0	0
Drd5	0	0	0	0	0	0	0	0	0	0
Drg1	660.74	935.143	939.419	935.951	1455.89	438.782	359.778	343.978	433.855	567.305
Drg2	252.071	435.438	374.672	412.152	549.477	228	161.845	131	143.93	256.959
Drosha	480.579	548.826	530.44	545.873	799.248	479	403.3262	305	322.368	604.0003
Drp2	2.50343	1	2.96561	6.50733	8	3	4	2	0	7.0000019
Dsc1	1	0	0	0	0	1	0	0	0	0
Dsc2	540.99966	830.4846	719.0571	875	1350.8661	569.99942	560	342.2785	420.9999	795.9995
Dsc3	0	0	0	0	0	0	0	0	0	0
Dscam	0	0	0	0	0	0	0	0	0	0
